epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9613.55,1.29176,0.79287,1.0615,0.46734,0.45947,0.37889,0.21122,1.60483,0.93114,1.35925,0.005842,0.005842,0.005842
44,9839.18,1.28562,0.78646,1.06165,0.50995,0.44523,0.38121,0.21619,1.59969,0.93129,1.3573,0.005743,0.005743,0.005743
45,10067.8,1.28174,0.78145,1.05712,0.49776,0.41031,0.37261,0.21044,1.60562,0.93406,1.36175,0.005644,0.005644,0.005644
46,10289.3,1.27173,0.77199,1.05436,0.52271,0.43563,0.37592,0.22005,1.61264,0.931,1.37114,0.005545,0.005545,0.005545
47,10520.3,1.26919,0.7701,1.05479,0.46178,0.42623,0.37069,0.20319,1.60348,0.93434,1.3656,0.005446,0.005446,0.005446
48,10751.8,1.26084,0.76551,1.05222,0.45867,0.46528,0.38302,0.20715,1.60555,0.93533,1.36682,0.005347,0.005347,0.005347
49,10983.3,1.25694,0.75797,1.04716,0.46074,0.42491,0.35906,0.20394,1.61353,0.93028,1.37819,0.005248,0.005248,0.005248
50,11214,1.25383,0.75748,1.04699,0.4214,0.4354,0.35638,0.20007,1.61864,0.93185,1.38353,0.005149,0.005149,0.005149
51,11444.6,1.24378,0.74582,1.04157,0.42497,0.42435,0.34784,0.19325,1.61822,0.93661,1.38122,0.00505,0.00505,0.00505
52,11676,1.24179,0.74435,1.03892,0.46017,0.43858,0.35966,0.1976,1.61321,0.93259,1.37793,0.004951,0.004951,0.004951
53,11906.9,1.23306,0.73819,1.03517,0.48222,0.42076,0.35917,0.19864,1.62004,0.93051,1.38573,0.004852,0.004852,0.004852
54,12138.5,1.22897,0.7327,1.03415,0.42449,0.46094,0.35783,0.19652,1.62274,0.93152,1.38985,0.004753,0.004753,0.004753
55,12369.3,1.22456,0.73089,1.03214,0.47878,0.41745,0.37805,0.21206,1.62528,0.9362,1.38966,0.004654,0.004654,0.004654
56,12600.5,1.21995,0.7226,1.03021,0.47489,0.43473,0.36096,0.19921,1.6225,0.94059,1.38945,0.004555,0.004555,0.004555
57,12832.2,1.20869,0.71494,1.02563,0.45751,0.46272,0.3613,0.20436,1.63087,0.93741,1.40236,0.004456,0.004456,0.004456
58,13063.3,1.20267,0.7063,1.02401,0.48033,0.42552,0.36294,0.20412,1.62851,0.9394,1.39794,0.004357,0.004357,0.004357
59,13295.1,1.19669,0.7038,1.02227,0.445,0.41954,0.35916,0.20151,1.62606,0.94337,1.39893,0.004258,0.004258,0.004258
60,13525.8,1.19168,0.7002,1.01932,0.43219,0.39632,0.34959,0.19555,1.63047,0.94573,1.40347,0.004159,0.004159,0.004159
61,13757.2,1.18767,0.69591,1.01633,0.47013,0.40545,0.35915,0.20115,1.63422,0.94224,1.41103,0.00406,0.00406,0.00406
62,13987.7,1.17913,0.68915,1.01335,0.48332,0.41575,0.35817,0.19497,1.63985,0.94046,1.4159,0.003961,0.003961,0.003961
63,14218.9,1.17579,0.68469,1.01296,0.47607,0.42824,0.35647,0.19972,1.63944,0.94287,1.41778,0.003862,0.003862,0.003862
64,14449.6,1.17261,0.67961,1.0099,0.47002,0.43853,0.35717,0.19877,1.64345,0.94344,1.42138,0.003763,0.003763,0.003763
65,14681.3,1.16423,0.67215,1.00713,0.47413,0.43909,0.35795,0.20165,1.64838,0.94864,1.42676,0.003664,0.003664,0.003664
66,14912.4,1.1585,0.66615,1.00507,0.48482,0.40671,0.35831,0.203,1.65167,0.94709,1.43126,0.003565,0.003565,0.003565
67,15143.6,1.15263,0.6605,1.00519,0.47667,0.42019,0.35678,0.20076,1.65251,0.94802,1.43242,0.003466,0.003466,0.003466
68,15375.6,1.14376,0.65651,0.99832,0.52747,0.40884,0.35481,0.19902,1.65459,0.95316,1.43748,0.003367,0.003367,0.003367
69,15606.2,1.13806,0.65295,0.99463,0.5072,0.42687,0.35078,0.19472,1.65746,0.95627,1.44083,0.003268,0.003268,0.003268
70,15837.1,1.13265,0.64224,0.99561,0.50077,0.42475,0.35404,0.199,1.65915,0.95985,1.44377,0.003169,0.003169,0.003169
71,16067.8,1.12465,0.63833,0.99307,0.52203,0.40247,0.35111,0.19313,1.6602,0.9626,1.44554,0.00307,0.00307,0.00307
72,16298.3,1.12175,0.63237,0.98896,0.53491,0.37599,0.35431,0.19404,1.66246,0.96517,1.44976,0.002971,0.002971,0.002971
73,16529.2,1.11354,0.6271,0.9877,0.49032,0.38255,0.35541,0.19245,1.66545,0.96597,1.45183,0.002872,0.002872,0.002872
74,16760.4,1.10458,0.62022,0.98364,0.52707,0.39715,0.36017,0.19649,1.66758,0.96574,1.45489,0.002773,0.002773,0.002773
75,16991.7,1.09723,0.61416,0.98047,0.53709,0.38744,0.36066,0.1956,1.66955,0.96717,1.45892,0.002674,0.002674,0.002674
76,17222.4,1.09424,0.60835,0.97952,0.53426,0.3951,0.36132,0.19349,1.67128,0.96706,1.46249,0.002575,0.002575,0.002575
77,17453.4,1.08849,0.60273,0.97716,0.56566,0.39189,0.35598,0.19292,1.6732,0.96888,1.46609,0.002476,0.002476,0.002476
78,17684.2,1.0797,0.59728,0.9724,0.56613,0.39318,0.35365,0.19163,1.6755,0.97128,1.46955,0.002377,0.002377,0.002377
79,17915.1,1.07642,0.59163,0.97148,0.56941,0.39395,0.35536,0.19142,1.67701,0.97218,1.47223,0.002278,0.002278,0.002278
80,18146.1,1.07087,0.59086,0.96993,0.5759,0.39194,0.35798,0.19351,1.67974,0.9734,1.47648,0.002179,0.002179,0.002179
81,18377,1.06452,0.58434,0.96964,0.57241,0.38873,0.35169,0.18949,1.68285,0.97517,1.48052,0.00208,0.00208,0.00208
